refund_id,transaction_id,account_id,refund_reason,claim_delay_days,refund_timestamp,refund_status,is_fraud_refund
REF000022,TXN000022,ACC0004,Unauthorized transaction,5,2026-07-11 11:37:30,Approved,0
REF000029,TXN000029,ACC0005,Item not received,9,2026-09-02 11:37:30,Approved,0
REF000048,TXN000048,ACC0008,Duplicate payment,13,2026-08-20 11:37:30,Approved,0
REF000053,TXN000053,ACC0008,Wrong product,1,2026-10-28 11:37:30,Approved,0
REF000132,TXN000132,ACC0021,Duplicate payment,6,2026-08-22 11:37:30,Approved,0
REF000167,TXN000167,ACC0026,Wrong product,2,2026-10-23 11:37:30,Approved,0
REF000169,TXN000169,ACC0027,Unauthorized transaction,7,2026-07-28 11:37:30,Approved,0
REF000197,TXN000197,ACC0031,Duplicate payment,12,2026-07-16 11:37:30,Approved,0
REF000214,TXN000214,ACC0033,Duplicate payment,7,2026-08-28 11:37:30,Approved,0
REF000219,TXN000219,ACC0034,Wrong product,9,2026-09-09 11:37:30,Approved,0
REF000309,TXN000309,ACC0047,Item not received,12,2026-09-13 11:37:30,Approved,0
REF000355,TXN000355,ACC0055,Wrong product,11,2026-07-31 11:37:30,Approved,0
REF000364,TXN000364,ACC0056,Duplicate payment,10,2026-07-12 11:37:30,Approved,0
REF000369,TXN000369,ACC0057,Duplicate payment,3,2026-07-12 11:37:30,Approved,0
REF000372,TXN000372,ACC0057,Wrong product,7,2026-07-22 11:37:30,Approved,0
REF000390,TXN000390,ACC0059,Unauthorized transaction,7,2026-07-15 11:37:30,Approved,0
REF000397,TXN000397,ACC0060,Duplicate payment,2,2026-09-07 11:37:30,Approved,0
REF000408,TXN000408,ACC0062,Damaged item,13,2026-07-31 11:37:30,Approved,0
REF000417,TXN000417,ACC0063,Duplicate payment,2,2026-08-06 11:37:30,Approved,0
REF000418,TXN000418,ACC0064,Item not received,4,2026-08-31 19:46:30,Approved,1
REF000420,TXN000420,ACC0064,Item not received,10,2026-09-06 19:51:30,Approved,1
REF000423,TXN000423,ACC0065,Item not received,4,2026-08-31 19:46:30,Approved,1
REF000426,TXN000426,ACC0066,Item not received,13,2026-09-09 19:50:30,Approved,1
REF000435,TXN000435,ACC0068,Item not received,5,2026-08-18 01:48:30,Approved,1
REF000437,TXN000437,ACC0068,Item not received,13,2026-08-26 01:54:30,Approved,1
REF000439,TXN000439,ACC0069,Item not received,10,2026-08-23 01:39:30,Approved,1
REF000447,TXN000447,ACC0071,Item not received,3,2026-08-16 01:37:30,Approved,1
REF000449,TXN000449,ACC0071,Item not received,6,2026-08-19 01:47:30,Approved,1
REF000451,TXN000451,ACC0071,Item not received,1,2026-08-14 01:39:30,Approved,1
REF000452,TXN000452,ACC0072,Item not received,1,2026-07-12 07:46:30,Approved,1
REF000460,TXN000460,ACC0074,Item not received,6,2026-07-17 07:41:30,Approved,1
REF000463,TXN000463,ACC0075,Item not received,5,2026-07-16 07:50:30,Approved,1
REF000469,TXN000469,ACC0076,Item not received,7,2026-07-18 07:39:30,Approved,1
REF000470,TXN000470,ACC0077,Item not received,12,2026-08-16 01:37:30,Approved,1
REF000475,TXN000475,ACC0078,Item not received,4,2026-08-08 03:37:30,Approved,1
REF000480,TXN000480,ACC0079,Item not received,9,2026-08-13 01:37:30,Approved,1
REF000483,TXN000483,ACC0080,Item not received,4,2026-08-07 21:37:30,Approved,1
REF000485,TXN000485,ACC0080,Item not received,4,2026-08-08 00:37:30,Approved,1
REF000486,TXN000486,ACC0080,Item not received,12,2026-08-15 21:37:30,Approved,1
REF000489,TXN000489,ACC0081,Item not received,7,2026-09-03 21:37:30,Approved,1
REF000493,TXN000493,ACC0082,Item not received,5,2026-09-01 22:37:30,Approved,1
REF000494,TXN000494,ACC0082,Item not received,7,2026-09-03 22:37:30,Approved,1
REF000502,TXN000502,ACC0084,Item not received,10,2026-09-06 19:37:30,Approved,1
REF000508,TXN000508,ACC0085,Item not received,10,2026-09-06 22:37:30,Approved,1
REF000510,TXN000510,ACC0086,Item not received,13,2026-09-09 21:37:30,Approved,1
REF000511,TXN000511,ACC0086,Item not received,7,2026-09-03 18:37:30,Approved,1
REF000512,TXN000512,ACC0087,Wrong product,11,2026-08-13 20:37:30,Approved,1
REF000521,TXN000521,ACC0089,Item not received,8,2026-08-07 21:37:30,Approved,1
REF000544,TXN000544,ACC0093,Item not received,7,2026-09-09 13:37:30,Approved,1
REF000549,TXN000549,ACC0094,Item not received,10,2026-09-12 08:37:30,Approved,1
REF000555,TXN000555,ACC0095,Wrong product,14,2026-09-15 14:37:30,Approved,1
REF000561,TXN000561,ACC0096,Wrong product,9,2026-09-14 09:37:30,Approved,1
REF000566,TXN000566,ACC0097,Duplicate payment,13,2026-08-25 20:37:30,Approved,1
REF000575,TXN000575,ACC0099,Damaged item,8,2026-08-14 20:37:30,Approved,1
REF000577,TXN000577,ACC0099,Item not received,10,2026-08-16 20:37:30,Approved,1
REF000592,TXN000592,ACC0103,Item not received,3,2026-08-27 11:37:30,Approved,0
REF000623,TXN000623,ACC0109,Item not received,2,2026-07-19 11:37:30,Approved,0
REF000698,TXN000698,ACC0127,Unauthorized transaction,1,2026-08-07 11:37:30,Approved,0
REF000743,TXN000743,ACC0136,Item not received,10,2026-09-23 11:37:30,Approved,0
REF000780,TXN000780,ACC0144,Damaged item,1,2026-06-20 11:37:30,Approved,0
REF000795,TXN000795,ACC0147,Wrong product,10,2026-08-26 11:37:30,Approved,0
REF000800,TXN000800,ACC0147,Unauthorized transaction,3,2026-10-13 11:37:30,Approved,0
REF000814,TXN000814,ACC0149,Unauthorized transaction,12,2026-09-07 11:37:30,Approved,0
REF000826,TXN000826,ACC0151,Duplicate payment,6,2026-08-21 11:37:30,Approved,0
REF000838,TXN000838,ACC0155,Duplicate payment,4,2026-06-27 11:37:30,Approved,0
REF000844,TXN000844,ACC0156,Duplicate payment,8,2026-08-25 11:37:30,Approved,0
REF000851,TXN000851,ACC0157,Damaged item,3,2026-09-20 11:37:30,Approved,0
REF000854,TXN000854,ACC0158,Duplicate payment,5,2026-06-15 11:37:30,Approved,0
REF000860,TXN000860,ACC0159,Duplicate payment,9,2026-07-29 11:37:30,Approved,0
REF000885,TXN000885,ACC0164,Wrong product,3,2026-06-30 11:37:30,Approved,0
REF001004,TXN001004,ACC0185,Damaged item,6,2026-06-24 11:37:30,Approved,0
REF001011,TXN001011,ACC0186,Unauthorized transaction,11,2026-06-29 11:37:30,Approved,0
REF001075,TXN001075,ACC0198,Duplicate payment,7,2026-08-17 11:37:30,Approved,0
REF001125,TXN001125,ACC0207,Item not received,13,2026-08-25 11:37:30,Approved,0
REF001146,TXN001146,ACC0211,Damaged item,13,2026-09-02 11:37:30,Approved,0
REF001152,TXN001152,ACC0213,Wrong product,2,2026-09-04 11:37:30,Approved,0
REF001188,TXN001188,ACC0218,Unauthorized transaction,7,2026-09-06 11:37:30,Approved,0
REF001201,TXN001201,ACC0223,Unauthorized transaction,11,2026-06-29 11:37:30,Approved,0
REF001205,TXN001205,ACC0223,Item not received,7,2026-07-27 11:37:30,Approved,0
REF001232,TXN001232,ACC0230,Duplicate payment,2,2026-08-24 11:37:30,Approved,0
REF001235,TXN001235,ACC0230,Unauthorized transaction,5,2026-10-08 11:37:30,Approved,0
REF001243,TXN001243,ACC0231,Wrong product,14,2026-07-26 11:37:30,Approved,0
REF001258,TXN001258,ACC0234,Damaged item,5,2026-09-02 11:37:30,Approved,0
REF001279,TXN001279,ACC0240,Duplicate payment,6,2026-09-01 11:37:30,Approved,0
REF001290,TXN001290,ACC0241,Wrong product,3,2026-10-04 11:37:30,Approved,0
REF001293,TXN001293,ACC0242,Unauthorized transaction,9,2026-07-01 11:37:30,Approved,0
REF001393,TXN001393,ACC0262,Duplicate payment,14,2026-07-06 11:37:30,Approved,0
REF001398,TXN001398,ACC0263,Unauthorized transaction,12,2026-08-10 11:37:30,Approved,0
REF001402,TXN001402,ACC0264,Duplicate payment,11,2026-09-09 11:37:30,Approved,0
REF001430,TXN001430,ACC0270,Item not received,5,2026-07-20 11:37:30,Approved,0
REF001441,TXN001441,ACC0272,Wrong product,14,2026-09-24 11:37:30,Approved,0
REF001450,TXN001450,ACC0274,Wrong product,7,2026-09-19 11:37:30,Approved,0
REF001456,TXN001456,ACC0275,Duplicate payment,13,2026-09-30 11:37:30,Approved,0
REF001458,TXN001458,ACC0275,Item not received,9,2026-10-10 11:37:30,Approved,0
REF001460,TXN001460,ACC0276,Item not received,5,2026-08-30 11:37:30,Approved,0
REF001479,TXN001479,ACC0279,Unauthorized transaction,2,2026-07-16 11:37:30,Approved,0
REF001512,TXN001512,ACC0285,Wrong product,13,2026-10-17 11:37:30,Approved,0
REF001515,TXN001515,ACC0286,Unauthorized transaction,7,2026-09-05 11:37:30,Approved,0
REF001518,TXN001518,ACC0286,Wrong product,5,2026-09-15 11:37:30,Approved,0
REF001531,TXN001531,ACC0289,Wrong product,7,2026-09-09 11:37:30,Approved,0
REF001577,TXN001577,ACC0298,Duplicate payment,3,2026-12-01 11:37:30,Approved,0
REF001597,TXN001597,ACC0302,Damaged item,1,2026-08-11 11:37:30,Approved,0
REF001621,TXN001621,ACC0306,Damaged item,4,2026-08-15 11:37:30,Approved,0
REF001633,TXN001633,ACC0309,Unauthorized transaction,2,2026-08-07 11:37:30,Approved,0
REF001642,TXN001642,ACC0311,Item not received,11,2026-09-08 11:37:30,Approved,0
REF001692,TXN001692,ACC0321,Duplicate payment,3,2026-08-31 11:37:30,Approved,0
REF001695,TXN001695,ACC0321,Unauthorized transaction,1,2026-09-29 11:37:30,Approved,0
REF001704,TXN001704,ACC0323,Damaged item,3,2026-06-26 11:37:30,Approved,0
