transaction_id,account_id,merchant_id,merchant_name,merchant_category,amount,payment_method,timestamp,transaction_status,hour_of_day,minutes_since_previous
TXN000001,ACC0001,M004,HomeNest,Furniture,7813,Wallet,2026-09-03 11:37:30,SUCCESS,11,
TXN000002,ACC0001,M002,StyleHub,Fashion,1721,Card,2026-09-05 11:37:30,SUCCESS,11,2880.0
TXN000003,ACC0001,M005,FitFuel,Health,1533,UPI,2026-10-01 11:37:30,SUCCESS,11,37440.0
TXN000004,ACC0001,M005,FitFuel,Health,1766,UPI,2026-10-06 11:37:30,SUCCESS,11,7200.0
TXN000005,ACC0001,M003,FreshMart,Grocery,1226,UPI,2026-10-25 11:37:30,SUCCESS,11,27360.0
TXN000006,ACC0001,M005,FitFuel,Health,579,Card,2026-09-23 11:37:30,SUCCESS,11,-46080.0
TXN000007,ACC0001,M004,HomeNest,Furniture,6448,UPI,2026-09-27 11:37:30,SUCCESS,11,5760.0
TXN000008,ACC0002,M002,StyleHub,Fashion,1759,UPI,2026-07-21 11:37:30,SUCCESS,11,
TXN000009,ACC0002,M002,StyleHub,Fashion,2345,Wallet,2026-07-27 11:37:30,SUCCESS,11,8640.0
TXN000010,ACC0002,M001,TechKart,Electronics,1739,Card,2026-08-20 11:37:30,SUCCESS,11,34560.0
TXN000011,ACC0002,M002,StyleHub,Fashion,1398,Wallet,2026-08-17 11:37:30,SUCCESS,11,-4320.0
TXN000012,ACC0003,M001,TechKart,Electronics,3961,UPI,2026-07-17 11:37:30,SUCCESS,11,
TXN000013,ACC0003,M003,FreshMart,Grocery,200,Wallet,2026-07-30 11:37:30,SUCCESS,11,18720.0
TXN000014,ACC0003,M003,FreshMart,Grocery,1203,NetBanking,2026-08-16 11:37:30,SUCCESS,11,24480.0
TXN000015,ACC0003,M004,HomeNest,Furniture,2359,UPI,2026-08-13 11:37:30,SUCCESS,11,-4320.0
TXN000016,ACC0003,M002,StyleHub,Fashion,1712,UPI,2026-09-03 11:37:30,SUCCESS,11,30240.0
TXN000017,ACC0003,M002,StyleHub,Fashion,430,Card,2026-08-01 11:37:30,SUCCESS,11,-47520.0
TXN000018,ACC0003,M002,StyleHub,Fashion,2137,NetBanking,2026-08-16 11:37:30,SUCCESS,11,21600.0
TXN000019,ACC0003,M005,FitFuel,Health,2082,Card,2026-08-21 11:37:30,SUCCESS,11,7200.0
TXN000020,ACC0004,M001,TechKart,Electronics,4561,Card,2026-06-08 11:37:30,SUCCESS,11,
TXN000021,ACC0004,M001,TechKart,Electronics,1400,UPI,2026-06-10 11:37:30,SUCCESS,11,2880.0
TXN000022,ACC0004,M003,FreshMart,Grocery,1292,UPI,2026-07-06 11:37:30,SUCCESS,11,37440.0
TXN000023,ACC0004,M002,StyleHub,Fashion,1459,UPI,2026-07-23 11:37:30,SUCCESS,11,24480.0
TXN000024,ACC0005,M004,HomeNest,Furniture,4591,UPI,2026-06-15 11:37:30,SUCCESS,11,
TXN000025,ACC0005,M001,TechKart,Electronics,848,Card,2026-06-27 11:37:30,SUCCESS,11,17280.0
TXN000026,ACC0005,M001,TechKart,Electronics,1172,Card,2026-07-07 11:37:30,SUCCESS,11,14400.0
TXN000027,ACC0005,M003,FreshMart,Grocery,1179,UPI,2026-06-24 11:37:30,SUCCESS,11,-18720.0
TXN000028,ACC0005,M003,FreshMart,Grocery,1392,UPI,2026-08-10 11:37:30,SUCCESS,11,67680.0
TXN000029,ACC0005,M004,HomeNest,Furniture,5124,UPI,2026-08-24 11:37:30,SUCCESS,11,20160.0
TXN000030,ACC0005,M001,TechKart,Electronics,4682,UPI,2026-08-26 11:37:30,SUCCESS,11,2880.0
TXN000031,ACC0005,M002,StyleHub,Fashion,2001,Card,2026-07-20 11:37:30,SUCCESS,11,-53280.0
TXN000032,ACC0005,M005,FitFuel,Health,1508,Wallet,2026-10-13 11:37:30,SUCCESS,11,122400.0
TXN000033,ACC0005,M003,FreshMart,Grocery,1476,UPI,2026-07-21 11:37:30,SUCCESS,11,-120960.0
TXN000034,ACC0006,M005,FitFuel,Health,879,UPI,2026-06-25 11:37:30,SUCCESS,11,
TXN000035,ACC0006,M005,FitFuel,Health,1914,UPI,2026-06-27 11:37:30,SUCCESS,11,2880.0
TXN000036,ACC0006,M003,FreshMart,Grocery,580,Card,2026-07-01 11:37:30,SUCCESS,11,5760.0
TXN000037,ACC0007,M005,FitFuel,Health,883,UPI,2026-08-07 11:37:30,SUCCESS,11,
TXN000038,ACC0007,M005,FitFuel,Health,1335,UPI,2026-08-12 11:37:30,SUCCESS,11,7200.0
TXN000039,ACC0007,M005,FitFuel,Health,522,NetBanking,2026-08-15 11:37:30,SUCCESS,11,4320.0
TXN000040,ACC0007,M004,HomeNest,Furniture,7281,UPI,2026-09-06 11:37:30,SUCCESS,11,31680.0
TXN000041,ACC0007,M001,TechKart,Electronics,2853,UPI,2026-08-31 11:37:30,SUCCESS,11,-8640.0
TXN000042,ACC0007,M005,FitFuel,Health,2295,Wallet,2026-10-11 11:37:30,SUCCESS,11,59040.0
TXN000043,ACC0007,M002,StyleHub,Fashion,1360,UPI,2026-09-18 11:37:30,SUCCESS,11,-33120.0
TXN000044,ACC0007,M001,TechKart,Electronics,2385,UPI,2026-10-23 11:37:30,SUCCESS,11,50400.0
TXN000045,ACC0008,M003,FreshMart,Grocery,1346,UPI,2026-07-23 11:37:30,SUCCESS,11,
TXN000046,ACC0008,M003,FreshMart,Grocery,797,Wallet,2026-08-03 11:37:30,SUCCESS,11,15840.0
TXN000047,ACC0008,M001,TechKart,Electronics,3365,UPI,2026-07-31 11:37:30,SUCCESS,11,-4320.0
TXN000048,ACC0008,M004,HomeNest,Furniture,4266,NetBanking,2026-08-07 11:37:30,SUCCESS,11,10080.0
TXN000049,ACC0008,M003,FreshMart,Grocery,1132,UPI,2026-08-08 11:37:30,SUCCESS,11,1440.0
TXN000050,ACC0008,M003,FreshMart,Grocery,1147,Card,2026-08-27 11:37:30,SUCCESS,11,27360.0
TXN000051,ACC0008,M005,FitFuel,Health,635,NetBanking,2026-08-16 11:37:30,SUCCESS,11,-15840.0
TXN000052,ACC0008,M002,StyleHub,Fashion,1204,UPI,2026-11-05 11:37:30,SUCCESS,11,116640.0
TXN000053,ACC0008,M001,TechKart,Electronics,1417,NetBanking,2026-10-27 11:37:30,SUCCESS,11,-12960.0
TXN000054,ACC0008,M005,FitFuel,Health,427,NetBanking,2026-12-05 11:37:30,SUCCESS,11,56160.0
TXN000055,ACC0009,M001,TechKart,Electronics,2934,UPI,2026-06-20 11:37:30,SUCCESS,11,
TXN000056,ACC0009,M004,HomeNest,Furniture,7356,Card,2026-06-30 11:37:30,SUCCESS,11,14400.0
TXN000057,ACC0009,M004,HomeNest,Furniture,3829,NetBanking,2026-07-04 11:37:30,SUCCESS,11,5760.0
TXN000058,ACC0009,M003,FreshMart,Grocery,424,UPI,2026-07-23 11:37:30,SUCCESS,11,27360.0
